id,gatewayId,containerTemperature1,containerTemperatureSensorId1,containerTemperature2,containerTemperatureSensorId2,containerTemperature3,containerTemperatureSensorId3,humidityValue,humidityTemperature,humiditySensorId,hvacStateOn,hvacStateValue,hvacActuatorId,currentClampValue,currentClampSensorId,externalTemperature,externalTemperatureId,parcelTemperature,parcelTemperatureSensorId,timestamp
-1,GATEWAY,27.93,80_00_00_00_00_01,27.03,80_00_00_00_00_02,22.43,80_00_00_00_00_03,12.12,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.91,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:59"
-1,GATEWAY,27.93,80_00_00_00_00_01,27.03,80_00_00_00_00_02,22.43,80_00_00_00_00_03,12.12,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.91,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:04"
-1,GATEWAY,27.93,80_00_00_00_00_01,27.03,80_00_00_00_00_02,22.43,80_00_00_00_00_03,12.12,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.91,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:09"
-1,GATEWAY,28.01,80_00_00_00_00_01,27.08,80_00_00_00_00_02,22.5,80_00_00_00_00_03,11.84,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.92,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:14"
-1,GATEWAY,28.01,80_00_00_00_00_01,27.08,80_00_00_00_00_02,22.5,80_00_00_00_00_03,11.84,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.92,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:19"
-1,GATEWAY,28.01,80_00_00_00_00_01,27.08,80_00_00_00_00_02,22.5,80_00_00_00_00_03,11.84,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.92,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:24"
-1,GATEWAY,28.01,80_00_00_00_00_01,27.08,80_00_00_00_00_02,22.5,80_00_00_00_00_03,11.84,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.92,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:29"
-1,GATEWAY,28.07,80_00_00_00_00_01,27.12,80_00_00_00_00_02,22.56,80_00_00_00_00_03,11.67,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.93,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:34"
-1,GATEWAY,28.07,80_00_00_00_00_01,27.12,80_00_00_00_00_02,22.56,80_00_00_00_00_03,11.67,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.93,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:39"
-1,GATEWAY,28.07,80_00_00_00_00_01,27.12,80_00_00_00_00_02,22.56,80_00_00_00_00_03,11.67,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.93,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:23:44"
